Age,Exercise,Cigarettes,Label
38.8,18.5,48,Bad
46.4,37.2,45,Neutral
39.2,2.5,17,Bad
50.4,36.6,0,Good
23.5,9.1,10,Bad
38.5,17.8,0,Neutral
39.2,12.2,0,Neutral
38.9,4.0,0,Bad
22.3,15.1,0,Neutral
43.4,13.8,36,Neutral
47.5,6.8,0,Neutral
51.4,12.1,0,Neutral
52.8,3.3,27,Bad
47.1,39.4,0,Good
55.5,0.4,37,Bad
53.7,31.7,46,Neutral
30.8,11.0,0,Neutral
55.9,36.0,52,Neutral
60.3,12.7,0,Neutral
59.4,36.6,52,Neutral
54.0,37.2,26,Good
52.3,17.4,0,Neutral
36.6,1.6,33,Bad
50.1,54.6,0,Good
56.1,16.3,31,Neutral
40.5,1.0,7,Bad
41.7,44.2,0,Good
48.4,29.5,0,Good
64.9,9.7,36,Neutral
28.6,58.0,41,Good
22.7,15.2,13,Neutral
29.7,23.4,23,Neutral
37.2,6.6,57,Bad
59.3,3.9,0,Neutral
49.3,0.2,0,Bad
51.6,17.6,63,Bad
30.8,11.8,40,Bad
46.9,22.6,0,Neutral
42.5,42.1,25,Good
62.2,38.0,0,Good
48.3,14.6,51,Bad
35.4,24.5,0,Neutral
45.3,6.4,0,Neutral
58.5,28.6,26,Good
48.4,6.5,0,Neutral
51.3,14.0,1,Neutral
32.8,26.6,0,Neutral
45.7,38.4,0,Good
30.5,60.4,0,Good
37.9,36.4,54,Bad
45.4,10.9,14,Neutral
42.4,2.0,33,Bad
22.8,44.1,8,Good
59.2,3.6,0,Neutral
49.1,23.9,42,Neutral
24.1,17.6,0,Neutral
46.0,19.5,9,Neutral
49.0,3.1,0,Neutral
27.6,7.1,27,Bad
43.5,6.9,61,Bad
43.4,75.2,22,Good
46.3,41.0,46,Neutral
60.1,9.6,23,Neutral
57.7,0.0,20,Bad
39.6,34.8,0,Good
48.0,4.0,6,Neutral
36.9,5.2,3,Bad
42.3,11.0,17,Neutral
21.4,38.8,0,Good
42.4,22.8,57,Bad
28.2,58.4,44,Good
37.6,48.1,0,Good
43.7,20.0,26,Neutral
44.2,34.6,0,Good
37.8,14.6,6,Neutral
63.0,19.9,0,Neutral
44.6,13.3,0,Neutral
58.3,38.3,63,Bad
47.6,11.5,0,Neutral
38.5,24.2,0,Neutral
44.3,12.6,26,Neutral
48.8,41.8,11,Good
47.4,17.3,19,Neutral
36.8,24.2,0,Neutral
41.8,14.8,49,Bad
52.0,31.0,39,Neutral
62.5,11.3,0,Neutral
41.5,27.9,37,Neutral
57.1,31.7,0,Good
35.3,20.7,0,Neutral
50.3,15.5,0,Neutral
52.1,17.0,0,Neutral
38.7,8.6,8,Neutral
47.3,16.2,0,Neutral
63.1,17.2,0,Neutral
54.0,10.6,60,Bad
35.1,18.8,41,Neutral
42.6,0.4,0,Bad
40.8,35.0,0,Good
36.7,38.5,43,Neutral
43.0,18.1,0,Neutral
25.5,8.7,34,Bad
31.9,7.8,0,Neutral
59.3,23.7,0,Good
47.0,20.6,0,Neutral
37.6,16.1,22,Neutral
53.6,9.2,29,Neutral
40.7,14.5,0,Neutral
44.1,3.5,48,Bad
54.0,33.7,30,Good
54.4,2.8,7,Neutral
50.3,10.6,9,Neutral
53.5,12.1,0,Neutral
21.3,0.6,45,Bad
59.6,26.4,60,Bad
38.2,8.0,0,Neutral
27.8,16.3,30,Neutral
42.8,15.5,0,Neutral
46.5,58.6,0,Good
41.1,51.7,36,Good
27.2,63.7,0,Good
36.4,30.9,0,Good
51.1,54.7,0,Good
44.8,37.1,32,Good
50.6,5.0,0,Neutral
58.0,55.1,48,Good
54.2,21.2,46,Neutral
49.5,39.4,0,Good
37.8,18.8,0,Neutral
52.3,2.1,46,Bad
36.3,30.1,0,Good
39.7,37.7,10,Good
38.5,18.4,8,Neutral
61.4,9.5,4,Neutral
50.3,15.1,0,Neutral
49.6,23.5,39,Neutral
32.2,39.0,3,Good
43.4,27.6,0,Good
49.5,6.6,11,Neutral
46.9,19.8,0,Neutral
53.9,19.1,0,Neutral
20.5,41.5,0,Good
57.1,23.5,54,Bad
63.8,22.0,0,Good
36.1,5.3,64,Bad
53.8,31.9,0,Good
21.7,36.2,28,Good
21.6,18.5,44,Bad
56.1,15.5,43,Neutral
51.0,38.3,46,Neutral
47.8,16.5,0,Neutral
35.8,24.2,18,Neutral
48.0,47.2,0,Good
48.2,0.3,30,Bad
41.0,15.9,40,Neutral
52.3,3.0,0,Neutral
41.4,17.6,54,Bad
47.2,9.9,4,Neutral
51.8,10.2,0,Neutral
